Received: Normal=0.3996160608153564, Power-Law=0.2954430227480186
Received: Normal=1.4697341556816526, Power-Law=0.33947616609453657
Received: Normal=-0.26543144731307183, Power-Law=0.40064375085837733
Received: Normal=-0.14141897246763538, Power-Law=0.4567333174763313
Received: Normal=-0.44458335081165784, Power-Law=0.43937764472440455
Received: Normal=-0.9207502575632862, Power-Law=0.1234067101753552
Received: Normal=-1.2798480478203274, Power-Law=0.44885506525715946
Received: Normal=-0.3003563002987691, Power-Law=0.3455333937742763
Received: Normal=-1.036782551276101, Power-Law=0.36275075779077726
Received: Normal=0.8970015569925399, Power-Law=0.46766073881765324
Received: Normal=-0.2203347654506023, Power-Law=0.40147539885416095
Received: Normal=3.1997579758886703, Power-Law=0.4113124189159193
Received: Normal=0.062319827409933234, Power-Law=0.4177677588120159
Received: Normal=-0.471348012479464, Power-Law=0.2829375239560564
Received: Normal=-0.3862295083044365, Power-Law=0.427545827352116
Received: Normal=1.7125051396874222, Power-Law=0.478585127488348
